postcode,lsoa21cd,lsoa21nm,admin_district,codes_lsoa
B28 8NS,E01009022,E05011118,Birmingham,E01009022
B19 1RA,E01008905,E05011153,Birmingham,E01008905
B19 1HB,E01009048,E05011153,Birmingham,E01009048
B36 8LB,E01009084,E05011131,Birmingham,E01009084
B8 1PJ,E01009482,E05011120,Birmingham,E01009482
B13 8BB,E01009384,E05011154,Birmingham,E01009384
B62 0HG,E01008921,E05011123,Birmingham,E01008921
B20 3LD,E01034918,E05011125,Birmingham,E01034918
B36 8PJ,E01009081,E05011131,Birmingham,E01009081
B29 5AJ,E01009294,E05011184,Birmingham,E01009294
B34 6PT,E01009307,E05011165,Birmingham,E01009307
B75 6QH,E01009426,E05011177,Birmingham,E01009426
B11 3HS,E01009029,E05011182,Birmingham,E01009029
B7 5NS,E01009201,E05011155,Birmingham,E01009201
B1 2UJ,E01009141,E05011151,Birmingham,E01009141
B31 5NL,E01009158,E05011136,Birmingham,E01009158
B16 8RX,E01009143,E05011151,Birmingham,E01009143
B42 2RY,E01009248,E05011159,Birmingham,E01009248
B36 8PA,E01009081,E05011131,Birmingham,E01009081
B23 6PY,E01009007,E05011135,Birmingham,E01009007
B11 4LG,E01009396,E05011171,Birmingham,E01009396
B16 8LE,E01009143,E05011151,Birmingham,E01009143
B19 3AA,,,,
B23 5UF,E01034915,E05011135,Birmingham,E01034915
B11 3NS,E01033643,E05011171,Birmingham,E01033643
B31 4TS,E01009216,E05011152,Birmingham,E01009216
B5 7RT,E01008982,E05011134,Birmingham,E01008982
B13 8BT,E01009384,E05011154,Birmingham,E01009384
B29 6EB,E01009289,E05011128,Birmingham,E01009289
B11 2ER,E01009028,E05011118,Birmingham,E01009028
B15 2NY,E01008995,E05011134,Birmingham,E01008995
B26 3XF,E01009317,E05011166,Birmingham,E01009317
B76 1XU,E01009443,E05011180,Birmingham,E01009443
B38 8RH,E01009119,E05011149,Birmingham,E01009119
B42 1QY,E01009240,E05011160,Birmingham,E01009240
B23 7XH,E01009124,E05011173,Birmingham,E01009124
B15 2EB,E01033626,E05011151,Birmingham,E01033626
B14 4AW,E01008969,E05011124,Birmingham,E01008969
B27 6ES,E01008889,E05011118,Birmingham,E01008889
B42 1EL,E01009245,E05011160,Birmingham,E01009245
B12 0PS,E01034946,E05011126,Birmingham,E01034946
B6 6HG,E01008916,E05011121,Birmingham,E01008916
B23 7XQ,E01009124,E05011173,Birmingham,E01009124
B12 0YY,E01009364,E05011126,Birmingham,E01009364
B18 6RU,E01033559,E05011168,Birmingham,E01033559
B27 6QA,E01008894,E05011118,Birmingham,E01008894
B42 2DS,E01009234,E05011160,Birmingham,E01009234
B1 2PL,E01033627,E05011151,Birmingham,E01033627
B15 3EF,E01008988,E05011134,Birmingham,E01008988
B23 5DR,E01009406,E05011161,Birmingham,E01009406
B5 6FD,E01033640,E05011126,Birmingham,E01033640
B5 6BY,E01033567,E05011126,Birmingham,E01033567
B33 8LD,E01009511,E05011137,Birmingham,E01009511
B36 8RA,E01009081,E05011131,Birmingham,E01009081
B1 1TB,E01033625,E05011151,Birmingham,E01033625
B24 9RU,E01009104,E05011162,Birmingham,E01009104
B76 2XA,E01009455,E05011180,Birmingham,E01009455
B44 0DA,E01009134,E05011150,Birmingham,E01009134
B15 1EL,E01009146,E05011151,Birmingham,E01009146
B45 0LR,E01009155,E05011136,Birmingham,E01009155
B20 3NA,E01034917,E05011125,Birmingham,E01034917
B38 9HS,E01009109,E05011149,Birmingham,E01009109
B23 5JN,E01009406,E05011161,Birmingham,E01009406
B14 7DT,E01009189,E05011154,Birmingham,E01009189
B31 5PH,E01009173,E05011119,Birmingham,E01009173
B4 7AS,E01033617,E05011156,Birmingham,E01033617
B8 2TN,E01009487,E05011183,Birmingham,E01009487
B23 7HR,E01009123,E05011173,Birmingham,E01009123
B15 3HA,E01008990,E05011134,Birmingham,E01008990
B33 9SG,E01009299,E05011138,Birmingham,E01009299
B15 1HF,E01009146,E05011151,Birmingham,E01009146
B34 6SE,E01009307,E05011165,Birmingham,E01009307
B9 5XJ,E01009343,E05011145,Birmingham,E01009343
B8 2DL,E01009480,E05011183,Birmingham,E01009480
B24 0BE,E01009003,E05011135,Birmingham,E01009003
B75 6PR,E01009426,E05011177,Birmingham,E01009426
B36 8JQ,E01009085,E05011131,Birmingham,E01009085
B24 8RB,E01009013,E05011139,Birmingham,E01009013
B34 7LA,E01009308,E05011165,Birmingham,E01009308
B11 3BN,E01009017,E05011140,Birmingham,E01009017
B15 2PQ,E01033562,E05011134,Birmingham,E01033562
B31 5HA,E01034942,E05011136,Birmingham,E01034942
B32 2JU,E01009074,E05011144,Birmingham,E01009074
B8 3AH,E01009195,E05011120,Birmingham,E01009195
B23 7WQ,E01009410,E05011173,Birmingham,E01009410
B8 3NT,E01009492,E05011120,Birmingham,E01009492
B32 3RY,E01008918,E05011123,Birmingham,E01008918
B15 2DF,E01033626,E05011151,Birmingham,E01033626
B75 7LG,E01009448,E05011176,Birmingham,E01009448
B5 5JN,E01033617,E05011155,Birmingham,E01033617
B75 6DG,E01009430,E05011178,Birmingham,E01009430
B25 8JX,E01008887,E05011169,Birmingham,E01008887
B45 9NH,E01009167,E05011164,Birmingham,E01009167
B45 9WA,E01009159,E05011136,Birmingham,E01009159
B16 0HG,E01009152,E05011157,Birmingham,E01009152
B33 9JG,E01009092,E05011138,Birmingham,E01009092
B9 4JD,E01009200,E05011126,Birmingham,E01009200
B8 2XF,E01009479,E05011183,Birmingham,E01009479
B10 0SU,E01009380,E05011127,Birmingham,E01009380
B31 4QJ,E01009170,E05011152,Birmingham,E01009170
B10 9HX,E01033642,E05011167,Birmingham,E01033642
B26 2UB,E01009314,E05011137,Birmingham,E01009314
B38 0AZ,E01009109,E05011149,Birmingham,E01009109
B19 1AY,E01009358,E05011168,Birmingham,E01009358
B11 1TL,E01009373,E05011170,Birmingham,E01009373
B1 3AY,E01034950,E05011168,Birmingham,E01034950
B5 6AN,E01033615,E05011126,Birmingham,E01033615
B31 5JB,E01009158,E05011136,Birmingham,E01009158
B13 0LQ,E01008938,E05011124,Birmingham,E01008938
B1 3JR,E01033623,E05011168,Birmingham,E01033623
B13 8BJ,E01009384,E05011154,Birmingham,E01009384
